MC_Code,MC_Category
3538,Accommodation
3539,Accommodation
3540,Accommodation
3541,Accommodation
3542,Accommodation
3543,Accommodation
3544,Accommodation
3545,Accommodation
3546,Accommodation
3547,Accommodation
3548,Accommodation
3549,Accommodation
3550,Accommodation
3551,Accommodation
3552,Accommodation
3553,Accommodation
3554,Accommodation
3555,Accommodation
3556,Accommodation
3557,Accommodation
3558,Accommodation
3559,Accommodation
3560,Accommodation
3561,Accommodation
3562,Accommodation
3563,Accommodation
3564,Accommodation
3565,Accommodation
3566,Accommodation
3567,Accommodation
3568,Accommodation
3569,Accommodation
3570,Accommodation
3571,Accommodation
3572,Accommodation
3573,Accommodation
3574,Accommodation
3575,Accommodation
3576,Accommodation
3577,Accommodation
3578,Accommodation
3579,Accommodation
3580,Accommodation
3581,Accommodation
3582,Accommodation
3583,Accommodation
3584,Accommodation
3585,Accommodation
3586,Accommodation
3587,Accommodation
3588,Accommodation
3589,Accommodation
3590,Accommodation
3591,Accommodation
3592,Accommodation
3593,Accommodation
3594,Accommodation
3595,Accommodation
3596,Accommodation
3597,Accommodation
3598,Accommodation
3599,Accommodation
3600,Accommodation
3601,Accommodation
3602,Accommodation
3603,Accommodation
3604,Accommodation
3605,Accommodation
3606,Accommodation
3607,Accommodation
3608,Accommodation
3609,Accommodation
3610,Accommodation
3611,Accommodation
3612,Accommodation
3613,Accommodation
3614,Accommodation
3615,Accommodation
3616,Accommodation
3617,Accommodation
3618,Accommodation
3619,Accommodation
3620,Accommodation
3621,Accommodation
3622,Accommodation
3623,Accommodation
3624,Accommodation
3625,Accommodation
3626,Accommodation
3627,Accommodation
3628,Accommodation
3629,Accommodation
3630,Accommodation
3631,Accommodation
3632,Accommodation
3633,Accommodation
3634,Accommodation
3635,Accommodation
3636,Accommodation
3637,Accommodation
3638,Accommodation
3639,Accommodation
3640,Accommodation
3641,Accommodation
3642,Accommodation
3643,Accommodation
3644,Accommodation
3645,Accommodation
3646,Accommodation
3647,Accommodation
3648,Accommodation
3649,Accommodation
3650,Accommodation
3651,Accommodation
3652,Accommodation
3653,Accommodation
3654,Accommodation
3655,Accommodation
3656,Accommodation
3657,Accommodation
3658,Accommodation
3659,Accommodation
3660,Accommodation
3661,Accommodation
3662,Accommodation
3663,Accommodation
3664,Accommodation
3665,Accommodation
3666,Accommodation
3667,Accommodation
3668,Accommodation
3669,Accommodation
3670,Accommodation
3671,Accommodation
3672,Accommodation
3673,Accommodation
3674,Accommodation
3675,Accommodation
3676,Accommodation
3677,Accommodation
3678,Accommodation
3679,Accommodation
3680,Accommodation
3681,Accommodation
3682,Accommodation
3683,Accommodation
3684,Accommodation
3685,Accommodation
3686,Accommodation
3687,Accommodation
3688,Accommodation
3689,Accommodation
3690,Accommodation
3691,Accommodation
3692,Accommodation
3693,Accommodation
3694,Accommodation
3695,Accommodation
3696,Accommodation
3697,Accommodation
3698,Accommodation
3699,Accommodation
3700,Accommodation
3701,Accommodation
3702,Accommodation
3703,Accommodation
3704,Accommodation
3705,Accommodation
3706,Accommodation
3707,Accommodation
