Name,County,"Population Census
4/21/1991",Population Census 4/28/1996,Population Census 4/28/2002,Population Census 4/23/2006,Population Census 4/10/2011,Population Census 4/24/2016
Ballyforan,Roscommon,...,...,...,...,172,200
Ballygar,Galway,489,546,642,689,660,687
Ballygarvan,Cork,...,...,...,457,540,556
Ballygawley,Sligo,...,...,...,186,321,310
Ballygeary (Rosslare Harbour),Wexford,983,"1,023","1,038","1,041","1,123","1,200"
Ballyhack,Wexford,221,212,210,189,207,206
Ballyhahill,Limerick,...,...,...,137,170,146
Ballyhaise,Cavan,438,435,530,597,620,711
Ballyhale,Kilkenny,...,...,...,...,137,174
Ballyhaunis,Mayo,"1,282","1,287","1,381","1,708","2,312","2,366"
Ballyheigue,Kerry,658,679,626,677,628,724
Ballyhogue,Wexford,...,...,...,...,262,269
Ballyhooly,Cork,173,190,179,215,412,475
Ballyjamesduff,Cavan,829,737,871,"1,690","2,568","2,661"
Ballyknockan,Wicklow,...,...,...,...,...,227
Ballylanders,Limerick,348,318,333,319,331,308
Ballyliffin,Donegal,334,299,313,357,461,426
Ballylinan,Laois,431,406,430,754,"1,084","1,101"
Ballylongford,Kerry,506,499,405,406,418,391
Ballymacarbry,Waterford,...,...,...,...,132,138
Ballymacoda,Cork,...,...,...,...,128,185
Ballymahon,Longford,816,790,827,963,"1,563","1,877"
Ballymore,Westmeath,219,212,239,289,433,483
Ballymore Eustace,Kildare,625,719,786,725,872,873
Ballymote,Sligo,"1,014",994,981,"1,229","1,539","1,549"
Ballymurn,Wexford,...,...,...,...,464,524
Ballynacargy,Westmeath,245,263,260,292,287,277
Ballynoe,Cork,...,...,...,...,146,141
Ballynonty,Tipperary,...,...,...,...,152,152
Ballyoulster,Kildare,431,399,411,895,480,479
Ballyporeen,Tipperary,324,293,295,304,313,318
Ballyragget,Kilkenny,814,803,821,"1,014","1,089","1,082"
Ballyroan,Laois,...,173,142,189,455,563
Ballyroe,Kildare,...,...,151,202,191,181
Ballysax,Kildare,...,...,170,270,333,342
Ballyshannon,Donegal,"2,838","2,775","2,715","2,686","2,503","2,299"
Ballysimon,Wexford,...,...,217,223,311,319
Ballytore,Kildare,293,295,338,445,685,793
Ballyvaughan,Clare,181,257,201,224,258,191
Balrothery,Fingal,...,...,...,...,"1,866","2,017"
Baltimore,Cork,217,232,383,377,347,323
Baltinglass,Wicklow,"1,068","1,127","1,260","1,735","2,061","2,137"
Baltray,Louth,135,130,120,121,103,132
Banagher,Offaly,"1,423","1,414","1,553","1,636","1,653","1,760"
Bandon,Cork,"4,741","4,751","5,161","5,822","6,640","6,957"
Bangor Erris,Mayo,262,251,266,295,293,306
Bansha,Tipperary,293,288,302,272,349,333
Banteer,Cork,235,257,327,304,323,355
Bantry,Cork,"2,777","2,936","3,150","3,309","3,348","2,722"
Barndarrig,Wicklow,...,...,...,...,233,260
Barntown,Wexford,432,410,394,394,461,459
Baylin,Westmeath,...,...,...,...,244,240
Béal an Mhuirthead (Belmullet),Mayo,986,954,952,"1,074","1,089","1,019"
Béal Átha an Ghaorthaidh (Ballingeary),Cork,213,220,205,234,238,235
Bearna,Galway,...,...,...,...,"1,878","1,998"
Beaufort,Kerry,...,...,159,240,228,251
Beaulieu,Louth,...,...,...,...,221,232
Belcarra,Mayo,...,...,...,...,222,228
Belgooly,Cork,...,...,...,535,765,826
Bellanagare,Roscommon,...,...,...,134,142,153
Bellanode,Monaghan,324,391,330,400,473,470
Bellavary,Mayo,...,...,...,147,160,159
Belmont,Offaly,291,257,252,219,209,200
Belturbet,Cavan,"1,223","1,248","1,295","1,411","1,407","1,369"
Bennettsbridge,Kilkenny,632,601,735,685,729,745
Birr,Offaly / Tipperary,"4,056","4,193","4,436","5,081","5,822","4,370"
Blacklion,Cavan,...,153,166,174,229,194
Blarney,Cork,"2,043","1,963","2,146","2,400","2,437","2,539"
Blessington,Wicklow / Kildare,"1,408","1,860","2,509","4,018","5,010","5,520"
Boherbue,Cork,441,447,379,378,333,334
Boherlahan,Tipperary,...,...,...,...,...,299
Bohola,Mayo,...,...,...,...,170,203
Borris,Carlow,588,584,580,582,646,652
Borris-in-Ossory,Laois,332,282,379,488,475,508
Borrisokane,Tipperary,784,850,832,832,964,942
Borrisoleigh,Tipperary,585,564,598,626,708,679
Boyle,Roscommon,"2,197","2,222","2,205","2,522","2,588","2,568"
Bracknagh,Offaly,300,281,259,240,209,212
Bray,Wicklow / Dublin,"26,953","27,923","30,951","31,901","31,872","32,600"
Bree,Wexford,...,...,...,...,201,193
Bridebridge,Cork,273,250,214,208,203,187
Bridge End,Donegal,...,...,298,334,497,454
Bridgetown,Wexford,262,246,183,202,385,462
Brittas,South Dublin,191,187,174,154,171,179
Broadford,Limerick,295,271,300,313,295,276
Brosna,Kerry,259,249,204,212,210,193
Brownstown,Kildare,544,462,500,482,846,883
Bruff,Limerick,850,700,695,724,783,803
Bruree,Limerick,265,261,299,321,541,580
Bunclody - Carrickduff,Carlow / Wexford,"1,316","1,241","1,361","1,863","2,012","1,984"
Buncrana,Donegal,"4,388","4,805","5,271","5,911","6,839","6,785"
Bundoran,Donegal,"1,463","1,796","1,842","1,964","2,140","1,963"
Bun na Leaca (Brinlack),Donegal,...,...,381,392,441,402
Bunnyconnelan West,Mayo,...,...,...,150,185,188
Bunratty,Clare,...,...,...,...,219,349
Burnfoot,Donegal,246,224,240,398,466,450
Butlersbridge,Cavan,188,185,182,182,282,276
Buttevant,Cork,"1,125","1,070",987,914,945,970
Bweeng,Cork,...,...,...,...,418,524
Cabragh (Threemilehouse),Monaghan,...,...,201,167,159,156
Caherconlish,Limerick,668,636,616,700,"1,279","1,476"
Cahir,Tipperary,"2,055","2,236","2,794","3,381","3,578","3,593"
Cahirciveen (Cahersiveen),Kerry,"1,213","1,250","1,272","1,294","1,168","1,041"
Callan,Kilkenny,"1,246","1,224","1,325","1,771","2,330","2,475"
Calverstown,Kildare,...,...,...,650,648,699
Camolin,Wexford,293,299,320,390,393,415
Campile,Wexford,410,396,335,347,411,448
Cappamore,Limerick,744,665,684,669,675,620
Cappawhite,Tipperary,350,345,340,328,369,343
Cappoquin,Waterford,829,780,756,740,759,699
Carlanstown,Meath,...,...,...,348,631,664
Carlingford,Louth,650,647,604,623,"1,045","1,445"
Carlow,Carlow / Laois,"14,027","14,979","18,487","20,724","23,030","24,272"
Carndonagh,Donegal,"1,541","1,580","1,673","1,923","2,534","2,471"
Carnew,Wicklow,737,795,809,949,"1,091","1,052"
Carney,Sligo,...,...,...,219,349,395
Carragh,Kildare,...,...,242,751,882,966
Carraig Airt,Donegal,...,...,...,249,228,222
Carrickmacross,Monaghan,"3,341","3,617","3,832","4,387","4,925","5,032"
Carrick-on-Shannon,Leitrim / Roscommon,"1,858","1,868","2,237","3,163","3,980","4,062"
Carrick-on-Suir,Tipperary,"5,143","5,217","5,586","5,906","5,931","5,771"
Carrigaline,Cork,"6,482","7,827","11,191","12,835","14,775","15,770"
Carrigallen,Leitrim,243,251,257,303,384,387
Carrigans,Donegal,218,185,158,191,336,331
Carrigkerry,Limerick,...,...,173,166,180,184
Carrignavar,Cork,...,...,...,482,499,519
Carrigtwohill,Cork,"1,212","1,232","1,411","2,782","4,551","5,080"
Carrowkeel,Donegal,249,268,253,331,388,355
Cashel,Tipperary,"2,814","2,687","2,770","2,936","4,051","4,422"
Castlebar,Mayo,"7,648","8,532","11,371","11,891","12,318","12,068"
Castlebellingham - Kilsaran,Louth,762,792,721,816,"1,035","1,126"
Castleblayney,Monaghan,"2,938","2,808","2,936","3,124","3,634","3,607"
Castlebridge - Blackwater,Wexford,696,783,"1,013","1,624","1,726","1,840"
Castlecomer - Donaguile,Kilkenny,"1,396","1,380","1,482","1,531","1,456","1,502"
Castleconnell,Limerick,"1,391","1,414","1,343","1,330","1,917","2,107"
Castledermot,Kildare,741,733,726,887,"1,398","1,475"
Castle Ellis,Wexford,...,...,165,173,293,339
Castlefin,Donegal,692,698,783,810,787,705
Castlegregory,Kerry,159,163,186,205,243,250
Castleisland,Kerry,"2,207","2,233","2,162","2,300","2,513","2,486"
Castlelyons,Cork,164,164,211,203,292,374
Castlemagner,Cork,...,...,...,...,246,281
Castlemaine,Kerry,...,...,...,...,187,176
